#             ID,KIC,Period,T0-2454900,Duration,Depth,DISP,KepMag,P1/P2,dT0/P,Pmatch(σ),Tmatch(σ),Dmatch(σ),"Sep("")",Chan0,Mod0,Out0,Row0,Col0,Chan1,Mod1,Out1,Row1,Col1,Chan2,Mod2,Out2,Row2,Col2,Chan3,Mod3,Out3,Row3,Col3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.01,3557493,0.393726,66.30988,2.2231,0.00048,KOI,15.025,1,-115,4.685,2.768,1,126.8,8,3,4,322,627,36,11,4,327,627,80,23,4,327,624,52,15,4,324,623
1190.01,3557341,0.393728,111.58621,2.12,0.000874,KOI,15.856,1,115,4.685,2.75,1,126.8,8,3,4,315,596,36,11,4,319,596,80,23,4,319,593,52,15,4,316,592
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.01,3557493,0.393726,66.30988,2.2231,0.00048,KOI,15.025,1,32,4.622,2.572,1,57.3,8,3,4,322,627,36,11,4,327,627,80,23,4,327,624,52,15,4,324,623
003557421-pri,3557421,0.393728,53.706652,1.3333,0.2132,KEB,10.027,1,-32,4.622,2.576,1,57.3,8,3,4,321,613,36,11,4,325,613,80,23,4,325,609,52,15,4,322,609
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190.01,3557341,0.393728,111.58621,2.12,0.000874,KOI,15.856,1,115,4.685,2.75,1,126.8,8,3,4,315,596,36,11,4,319,596,80,23,4,319,593,52,15,4,316,592
1200.01,3557493,0.393726,66.30988,2.2231,0.00048,KOI,15.025,1,-115,4.685,2.768,1,126.8,8,3,4,322,627,36,11,4,327,627,80,23,4,327,624,52,15,4,324,623
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190.01,3557341,0.393728,111.58621,2.12,0.000874,KOI,15.856,1,147,4.889,2.873,1,70.3,8,3,4,315,596,36,11,4,319,596,80,23,4,319,593,52,15,4,316,592
003557421-pri,3557421,0.393728,53.706652,1.3333,0.2132,KEB,10.027,1,-147,4.889,2.885,1,70.3,8,3,4,321,613,36,11,4,325,613,80,23,4,325,609,52,15,4,322,609
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796.01,3114661,0.444292,102.864615,2.1577,0.014322,KOI,15.748,0.5,6,4.692,2.886,1,8.4,1,2,1,760,829,53,16,1,754,829,81,24,1,754,824,29,10,1,759,824
003114667-sec,3114667,0.888583,100.19713,1.7956,0.2041,KEB,17.375,2,-3,0.674,3.097,1,8.4,1,2,1,762,828,53,16,1,756,828,81,24,1,756,823,29,10,1,761,823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796.01,3114661,0.444292,102.864615,2.1577,0.014322,KOI,15.748,0.5,7,4.692,3.049,1,8.4,1,2,1,760,829,53,16,1,754,829,81,24,1,754,824,29,10,1,759,824
003114667-pri,3114667,0.888583,99.753549,1.657,0.2579,KEB,17.375,2,-3.5,0.674,0.676,1,8.4,1,2,1,762,828,53,16,1,756,828,81,24,1,756,823,29,10,1,761,823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167.01,10485179,0.445275,66.97129,2.0216,0.000224,KOI,14.507,1,1,4.532,2.676,1,89.7,50,15,2,843,752,6,3,2,843,747,34,11,2,841,748,78,23,2,840,752
1171.01,10485069,0.445277,66.5227,2.0178,0.000174,KOI,15.343,1,-1,4.532,2.676,1,89.7,50,15,2,834,731,6,3,2,834,727,34,11,2,831,728,78,23,2,830,732
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167.01,10485179,0.445275,66.97129,2.0216,0.000224,KOI,14.507,1,150,4.392,2.083,1,37,50,15,2,843,752,6,3,2,843,747,34,11,2,841,748,78,23,2,840,752
