time, circaper5, circaper0
2749.6107,1.0027005,1.0066289
2749.6311,1.0022756,1.0070859
2749.6516,1.0004354,1.0063466
2749.672,1.0006527,1.0064924
2749.6924,1.0011518,1.0064325
2749.7129,1.0023726,1.0062042
2749.7333,1.0007618,1.0060773
2749.7537,1.0024949,1.0073859
2749.7742,1.0011568,1.0064759
2749.7946,1.0026478,1.0068047
2749.815,1.0018695,1.0067914
2749.8355,1.0019226,1.0067677
2749.8559,1.0021304,1.0071437
2749.8763,1.001279,1.0061354
2749.9172,1.0024848,1.0072287
2749.9376,1.002495,1.0074134
2749.958,1.0023988,1.0070808
2749.9785,1.002157,1.0070326
2749.9989,1.001817,1.0073104
2750.0193,1.0023655,1.007236
2750.0398,1.0031088,1.0075691
2750.0602,1.0029811,1.0072518
2750.0806,1.0010393,1.0070863
2750.1011,1.0016367,1.0070117
2750.1215,1.0025473,1.0069913
2750.1419,1.0021975,1.0071806
2750.1624,1.0029937,1.0074058
2750.1828,1.0018767,1.0070908
2750.2032,1.0017428,1.0069986
2750.2237,1.0023903,1.0068669
2750.2441,1.003422,1.0070986
2750.2645,1.0018986,1.0064617
2750.285,1.0022574,1.007044
2750.3054,1.0021781,1.006884
2750.3258,1.0020344,1.0071105
2750.3462,1.0029112,1.0075036
2750.3667,1.0032744,1.0071266
2750.3871,1.0014352,1.0071493
2750.4075,1.0016537,1.0067221
2750.428,1.002422,1.007043
2750.4484,1.0032411,1.0067245
2750.4688,1.0014448,1.0062898
2750.4893,1.0023932,1.0068254
2750.5097,1.0025417,1.0068557
2750.5301,1.0029557,1.0072212
2750.5506,1.0018512,1.0071144
2750.571,1.0025236,1.0065686
2750.5914,1.0044474,1.0071971
2750.6119,1.0022665,1.006635
2750.6527,1.0032889,1.0084333
2750.6732,1.0012742,1.0070027
2750.6936,1.0025674,1.0074439
2750.714,1.0025842,1.00725
2750.7345,1.0012663,1.0065513
2750.7549,1.0024055,1.0068232
2750.7753,1.0024869,1.0071332
2750.7958,1.0026769,1.0070326
2750.8162,1.0062092,1.0071451
2750.8366,1.0022906,1.0068252
2750.857,1.0026917,1.0075306
2750.8775,1.0031873,1.0070108
2750.8979,1.0025854,1.0066272
2750.9183,1.0022831,1.0071925
2750.9388,1.00211,1.0067842
2750.9592,1.0023657,1.0069646
2750.9796,1.001166,1.0067424
2751.0001,1.0034058,1.0073754
2751.0205,1.0024593,1.0069758
2751.0409,1.0024812,1.0072695
2751.0614,1.0028774,1.0074145
2751.0818,1.0029564,1.008175
2751.1022,1.0018336,1.0071166
2751.1431,1.0023699,1.0067447
2751.1635,1.0025764,1.0071221
2751.184,1.0028542,1.0071625
2751.2044,1.0015415,1.0070462
2751.2248,1.002822,1.007124
2751.2453,1.0024906,1.0072504
2751.2657,1.0022066,1.0069473
2751.2861,1.0031622,1.0072364
2751.3066,1.0022472,1.0074279
2751.327,1.0022068,1.0068373
2751.3474,1.0026653,1.0066491
2751.3678,1.0027459,1.007188
2751.3883,1.0035161,1.0076933
2751.4087,1.0018592,1.0069417
2751.4291,1.0032262,1.0071548
2751.4496,1.0020808,1.0068179
2751.47,1.0027162,1.007149
2751.4904,1.0030579,1.0071032
2751.5109,1.002547,1.0074111
2751.5313,1.0017811,1.0066345
2751.5517,1.0035698,1.007482
2751.5722,1.0024116,1.0069641
2751.5926,1.0020676,1.0065194
2751.613,1.0027223,1.0071243
2751.6335,1.0021112,1.0069564
2751.6539,1.0036379,1.0074078
2751.6743,1.0033791,1.0070564
2751.6948,1.0019513,1.0067207
2751.7152,1.0026878,1.0078823
2751.7356,1.0026332,1.0071792
2751.7561,1.0016208,1.0068298
2751.7765,1.0027407,1.0072301
2751.7969,1.0023664,1.0069618
2751.8174,1.0031353,1.0069812
2751.8378,1.0021894,1.0067358
2751.8582,1.0031919,1.0072113
2751.8786,1.0020692,1.0070717
2751.8991,1.0020547,1.0067132
2751.9195,1.0013137,1.0071888
2751.9399,1.0025643,1.007038
2751.9604,1.0024048,1.0070767
2751.9808,1.0024439,1.0072968
2752.0012,1.0032187,1.0074541
2752.0217,1.0017202,1.0069537
2752.0421,1.0009841,1.006561
2752.0625,1.0023525,1.0076709
2752.083,1.0029425,1.007529
2752.1238,1.0024022,1.0071585
2752.1443,1.0027234,1.0072817
2752.1647,1.0021157,1.0067534
2752.1851,1.0039466,1.0076896
2752.2056,1.0025574,1.0071281
2752.226,1.0023405,1.0071391
2752.2464,1.002209,1.0071173
2752.2669,1.0026706,1.0074811
2752.2873,1.0028014,1.0074157
2752.3077,1.0029112,1.0076059
2752.3282,1.007146,1.0077784
2752.3486,1.0035037,1.007358
2752.369,1.0038159,1.0082331
2752.3894,1.0043219,1.007562
2752.4099,1.0035435,1.0073226
2752.4303,1.0020867,1.0069237
2752.4507,1.0024427,1.0073008
2752.4712,1.0023719,1.0074383
2752.4916,1.0030284,1.0076027
2752.512,1.0034404,1.0070115
2752.5325,1.0028938,1.0074346
2752.5529,1.0022595,1.0069363
2752.5733,1.0027538,1.0072281
2752.6142,1.0017476,1.0067843
2752.6346,1.0021949,1.0069072
2752.6551,1.0016952,1.0073013
2752.6755,1.0028912,1.007127
2752.6959,1.0024458,1.0071187
2752.7164,1.0020548,1.0071422
2752.7368,1.0045055,1.0074475
2752.7572,1.002502,1.0071969
2752.7777,1.0018117,1.0069692
2752.7981,1.0040782,1.0079542
2752.8185,1.0027311,1.0071479
2752.8389,1.0019408,1.00706
2752.8594,1.0028746,1.0075237
2752.8798,1.0030775,1.0077333
2752.9002,1.0045344,1.0077882
2752.9207,1.0033274,1.0077726
2752.9411,1.003772,1.0074262
2752.9615,1.0040212,1.0074735
2752.982,1.0030017,1.0075392
2753.0024,1.0046929,1.0073455
2753.0228,1.0025433,1.0069083
2753.0433,1.0027386,1.0073036
2753.0637,1.0030706,1.0072641
2753.125,1.0023651,1.0067143
2753.1454,1.0029454,1.0068474
2753.1659,1.0033154,1.0068828
2753.1863,1.00247,1.0068323
2753.2067,1.0037656,1.0075954
2753.2272,1.0039278,1.0076247
2753.2476,1.0033178,1.0073579
2753.268,1.0043468,1.0075844
2753.2885,1.0020245,1.0068305
2753.3089,1.0032728,1.0070006
2753.3293,1.0032536,1.0073015
2753.3497,1.0042195,1.007445
2753.3702,1.0035725,1.0076984
2753.3906,1.0042427,1.0079457
2753.411,1.0017211,1.0072991
2753.4315,1.0025595,1.0070129
2753.4519,1.0018712,1.007189
2753.4723,1.0011142,1.0068353
2753.4928,1.0016935,1.0075627
2753.5132,1.0032156,1.0075322
2753.5336,1.0013473,1.0071735
2753.5541,1.0026242,1.0073967
2753.5949,1.000367,1.005707
2753.6767,1.0031823,1.0074258
2753.6971,1.0030485,1.007732
2753.7175,1.0049551,1.0071928
2753.738,1.0035409,1.0075939
2753.7584,1.0031152,1.0075111
2753.7788,1.0036105,1.0073417
2753.7993,1.002754,1.007265
2753.8197,1.0030303,1.0071917
2753.8401,1.0025262,1.0069974
2753.8605,1.0025111,1.0069324
2753.881,1.0044198,1.0077052
2753.9014,1.0039789,1.0077145
2753.9218,1.0018375,1.00661
2753.9423,1.0033643,1.0076931
2753.9627,1.0036669,1.0079525
2753.9831,1.0035361,1.0069351
2754.0036,1.0024458,1.007125
2754.024,1.0038075,1.0072359
2754.0444,1.0031189,1.0072435
2754.0853,1.0043797,1.0078801
2754.1057,1.002759,1.0073865
2754.1262,1.0037276,1.0072898
2754.1466,1.0032484,1.0078419
2754.167,1.003691,1.0079402
2754.1875,1.003371,1.0074734
2754.2079,1.0038393,1.0077025
2754.2283,1.0029622,1.0077782
2754.2488,1.0039934,1.0077566
2754.2692,1.0030441,1.0072001
2754.2896,1.0025121,1.0073739
2754.31,1.0026429,1.0071278
2754.3305,1.0034581,1.0077412
2754.3509,1.0050178,1.0078211
2754.3713,1.0028141,1.0071402
2754.3918,1.0042107,1.0078524
2754.4122,1.0036741,1.0080351
2754.4326,1.0035765,1.0077208
2754.4531,1.0039128,1.007819
2754.4735,1.0026264,1.0076653
2754.4939,1.0026658,1.0072598
2754.5144,1.0030253,1.0077276
2754.5348,1.0038783,1.0073648
2754.5757,1.0045518,1.0077001
2754.5961,1.0037408,1.0076452
2754.6165,1.0018975,1.0070754
2754.637,1.0024991,1.0076402
2754.6574,1.0038297,1.0079496
2754.6778,1.0031982,1.0076886
2754.6983,1.0039987,1.0072661
2754.7187,1.00396,1.0077398
2754.7391,1.0024089,1.0072197
2754.7596,1.0028626,1.0071149
2754.78,1.0038913,1.0080047
2754.8004,1.0032967,1.0076032
2754.8208,1.0025429,1.0069867
2754.8413,1.0037011,1.0078521
2754.8617,1.003442,1.0076912
2754.8821,1.0044034,1.0078643
2754.9026,1.0021576,1.0070835
2754.923,1.0041071,1.0076579
2754.9434,1.0040646,1.0078398
2754.9639,1.0049048,1.0079539
2754.9843,1.0033581,1.0077993
2755.0047,1.0033684,1.0071191
2755.0252,1.0024241,1.0070332
2755.066,1.0042141,1.0078873
2755.0865,1.0037173,1.0074815
2755.1069,1.0036552,1.0078014
2755.1273,1.0036641,1.0075985
2755.1478,1.0038274,1.0072724
2755.1682,1.0040091,1.0080158
2755.1886,1.0044182,1.007721
2755.2091,1.0036508,1.0075501
2755.2295,1.0038246,1.0075758
2755.2499,1.0037476,1.0075447
2755.2703,1.0046717,1.007751
2755.2908,1.0044361,1.0078554
2755.3112,1.0036845,1.0075831
2755.3316,1.0039123,1.0072356
2755.3521,1.0038784,1.0078981
2755.3725,1.0033512,1.0075976
2755.3929,1.0041602,1.0077483
2755.4134,1.0037063,1.0076358
2755.4338,1.0031963,1.0070284
2755.4542,1.0035623,1.0075489
2755.4747,1.0034572,1.0071931
2755.4951,1.004822,1.0076005
2755.5155,1.0039276,1.0078709
2755.5564,1.0030741,1.0074798
2755.5768,1.0068679,1.0075035
2755.5973,1.0040899,1.0074534
2755.6177,1.0033145,1.0073537
2755.6381,1.0025145,1.0074732
2755.6586,1.0034703,1.0077324
2755.679,1.0049558,1.0083717
2755.6994,1.0044367,1.0073286
2755.7198,1.0032848,1.0073554
2755.7403,1.0047781,1.0082577
2755.7607,1.0032184,1.0074082
2755.8016,1.0040284,1.0079176
2755.822,1.0030283,1.0073071
2755.8424,1.0029291,1.0073995
2755.8629,1.0024696,1.0069961
2755.8833,1.0027683,1.0070814
2755.9037,1.0035821,1.0073879
2755.9242,1.0029611,1.0071411
2755.9446,1.0032881,1.0074555
2755.965,1.0042073,1.0078166
2755.9855,1.0033871,1.007436
2756.0059,1.0034661,1.0070747
2756.0263,1.0033004,1.0071228
2756.0468,1.002617,1.0070618
2756.0672,1.0040012,1.0082359
2756.0876,1.0036083,1.0070307
2756.1081,1.0025635,1.0071074
2756.1285,1.0039408,1.0072397
2756.1489,1.0029012,1.0075357
2756.1694,1.0034699,1.0074015
2756.1898,1.0038418,1.0074069
2756.2102,1.0032852,1.0071252
2756.2306,1.0040887,1.0074422
2756.2511,1.0039917,1.0077605
2756.2715,1.0031114,1.0073298
2756.2919,1.003061,1.0072358
2756.3124,1.0037214,1.0078157
2756.3328,1.0033323,1.0070348
2756.3532,1.0039934,1.0071615
2756.3737,1.0029587,1.0070322
2756.3941,1.0033634,1.0074154
2756.4145,1.0030524,1.007276
2756.435,1.0036686,1.0073992
