epicid,ra,dec,kepmag,period,t0,duration,campaign,label
201126503,175.938421,-5.873002,17.275,1.194869833,1977.375616,1.7932546,1, C
201146489,173.432192,-5.378735,13.216,21.42846654,1989.586459,6.004301954,1, E
201155177,176.665722,-5.171913,14.632,6.686830778,1981.678431,2.8919013,1, C
201158453,173.980706,-5.093875,14.69,7.077647435,1980.478513,5.152038958,1, E
201160323,175.714555,-5.048762,18.238,22.2702128,1978.497342,4.283881898,1, E
201161715,174.615319,-5.015625,14.652,10.49530237,1986.425291,18.44555057,1, E
201173390,169.162868,-4.735153,12.964,16.99537561,1983.429546,12.44053103,1, E
201182911,172.710419,-4.507613,15.516,0.996561076,1978.090258,2.3075295,1, E
201184068,173.497149,-4.479944,14.135,0.794282331,1977.576044,2.608426703,1, E
201197348,177.094973,-4.164393,15.135,14.90996578,1992.114529,2.4725106,1, C
201205469,169.117142,-3.97544,14.887,3.471278471,1980.352932,2.0632266,1, C
201205683,176.147864,-3.970875,16.244,0.288982052,1977.339987,0.56027116,1, E
201208431,174.74564,-3.905585,14.409,10.00361541,1982.523064,2.7031946,1, C
201231940,174.120612,-3.482449,18.108,0.573033904,1977.511754,0.30691544,1, C
201238110,179.70593,-3.389389,14.904,7.907364687,1980.672976,1.5628731,1, C
201238163,173.262802,-3.388773,15.279,1.082953584,1977.366514,1.1051726,1, C
201239401,173.052956,-3.370242,15.042,0.905492472,1977.945172,1.0950358,1, C
201247497,177.946552,-3.246116,16.77,2.754050753,1977.903132,1.0949373,1, C
201253025,179.332673,-3.16183,12.858,3.392992382,1977.390599,7.178686775,1, E
201257461,178.161109,-3.094936,11.511,50.23432878,1995.382907,12.648925,1, E
201264302,169.598013,-2.991577,13.879,0.212213298,1977.274665,0.39721166,1, C
201270176,170.132598,-2.902582,12.452,1.578198138,1977.425374,3.2135274,1, E
201270464,170.13348,-2.898169,9.392,1.578162319,1977.426053,3.2515349,1, E
201295312,174.01163,-2.520881,12.126,5.656450617,1978.718718,4.0475947,1, C
201306196,179.883469,-2.357578,12.725,3.629435869,1979.459401,3.268039194,1, E
201324549,171.235916,-2.085164,12.146,2.519398617,1979.51226,1.4608299,1, E
201333466,178.177142,-1.953332,14.905,10.99852287,1981.85437,3.234205871,1, E
201338508,169.303502,-1.877976,14.364,5.734533704,1981.605805,2.884628,1, C
201345483,169.632879,-1.77413,15.319,1.729261591,1978.255332,1.705391,1, C
201359834,173.175289,-1.558705,15.655,20.06807682,1985.588247,2.991048637,1, E
201367065,172.334949,-1.454787,11.574,10.05431993,1980.418518,2.6145839,1, C
201368515,179.454239,-1.43359,15.75,14.92910043,1987.599081,4.00867548,1, E
201379113,170.350017,-1.276425,14.756,21.21448254,1989.235128,4.024613557,1, E
201382417,170.159982,-1.225963,11.657,5.197624234,1978.074299,5.318299538,1, E
201382958,168.490406,-1.218177,13.531,1.602055442,1978.856799,6.8491485,1, E
201384232,178.19226,-1.198477,12.51,30.94311106,1994.497891,5.2043993,1, C
201390608,173.407964,-1.103482,13.363,9.813513988,1979.567413,4.108614979,1, E
201403446,174.266344,-0.907261,11.995,19.15335984,1982.33838,6.6640177,1, C
201407812,174.044145,-0.840699,11.858,2.826812477,1979.488428,6.8120674,1, E
201408204,172.513501,-0.834423,11.847,8.481825966,1982.195601,7.368445807,1, E
201441872,173.600412,-0.334585,12.088,4.439330572,1979.88682,2.8302529,1, C
201445392,169.793665,-0.284375,14.384,10.35342144,1980.609546,2.5338748,1, C
201456399,171.081699,-0.127549,12.419,30.53041898,1999.588948,3.7655192,1, C
201460826,171.933667,-0.06284,11.13,17.35481273,1983.738671,7.9543684,1, C
201464977,175.908662,-0.002706,14.962,15.89489832,1992.408033,2.862600932,1, E
