tic_id,disp_E,disp_N,disp_J,disp_S,disp_B,maxcount
22376838,0,0,10,0,0,10
70239052,10,0,0,0,0,10
41495596,0,0,10,0,0,10
120504050,0,0,10,0,0,10
137495807,0,0,10,0,0,10
284684796,0,0,0,0,10,10
29712976,0,0,0,0,10,10
41877155,10,0,0,0,0,10
239471909,0,0,10,0,0,10
138360701,0,0,10,0,0,10
72138119,0,0,0,0,10,10
137553270,1,0,7,2,0,7
20911419,0,0,0,0,10,10
350940029,0,0,10,0,0,10
198731468,0,0,10,0,0,10
24367536,1,0,9,0,0,9
121609069,2,0,3,0,5,5
394552613,0,0,10,0,0,10
21070451,0,0,10,0,0,10
42061618,0,0,0,0,10,10
30870074,0,0,5,0,5,5
451810286,6,0,0,0,4,6
138488109,0,0,0,0,10,10
22371772,10,0,0,0,0,10
71524983,0,0,10,0,0,10
237195563,0,0,10,0,0,10
121991372,0,0,10,0,0,10
29819071,0,0,0,0,10,10
40285577,0,0,10,0,0,10
120100001,0,0,10,0,0,10
122072331,0,0,10,0,0,10
70844442,10,0,0,0,0,10
122368214,2,0,8,0,0,8
426121151,0,0,3,7,0,7
22374236,0,0,10,0,0,10
21765696,10,0,0,0,0,10
41103855,0,0,10,0,0,10
399792154,10,0,0,0,0,10
70949887,0,0,10,0,0,10
284688217,0,0,10,0,0,10
122705143,0,0,10,0,0,10
122366798,0,0,10,0,0,10
392799218,0,0,10,0,0,10
395020523,0,0,10,0,0,10
138721912,0,0,10,0,0,10
214343267,2,0,0,8,0,8
137215339,0,0,10,0,0,10
394695696,0,0,10,0,0,10
40999246,0,0,10,0,0,10
213174750,0,0,10,0,0,10
71773047,0,0,10,0,0,10
20778034,0,0,10,0,0,10
138490690,10,0,0,0,0,10
137763063,0,0,10,0,0,10
68624636,0,0,10,0,0,10
41281799,0,0,10,0,0,10
394383057,10,0,0,0,0,10
21969094,0,0,0,0,10,10
71075446,0,0,2,0,8,8
137347875,10,0,0,0,0,10
138038978,0,0,10,0,0,10
110221019,10,0,0,0,0,10
120492945,0,0,10,0,0,10
358604409,0,0,10,0,0,10
138033024,10,0,0,0,0,10
394859312,0,0,10,0,0,10
302815059,10,0,0,0,0,10
137971335,0,0,10,0,0,10
72023713,0,0,10,0,0,10
110220667,10,0,0,0,0,10
137215482,0,0,10,0,0,10
112980053,0,0,0,0,10,10
58817605,0,0,10,0,0,10
115235368,0,0,10,0,0,10
40175062,0,0,2,0,8,8
115648801,0,0,0,0,10,10
112362827,10,0,0,0,0,10
24237776,0,0,10,0,0,10
138566841,0,0,10,0,0,10
24367406,0,0,10,0,0,10
70731387,2,0,0,0,8,8
138717828,0,0,9,1,0,9
21153538,0,0,10,0,0,10
435346827,0,0,0,0,10,10
138029165,0,0,10,0,0,10
30423161,0,0,5,0,5,5
111787679,0,0,0,0,10,10
122071331,0,0,10,0,0,10
70240869,10,0,0,0,0,10
1867338420,0,0,0,0,10,10
122131750,0,0,10,0,0,10
41614386,0,0,0,0,10,10
57766515,1,0,9,0,0,9
40998124,0,0,10,0,0,10
41831896,10,0,0,0,0,10
392863762,10,0,0,0,0,10
29538027,7,0,3,0,0,7
110222925,0,0,10,0,0,10
138361343,10,0,0,0,0,10
70604495,0,0,0,0,10,10
1712251013,0,0,10,0,0,10
40570575,10,0,0,0,0,10
392664256,10,0,0,0,0,10
137312958,10,0,0,0,0,10
122140949,0,0,10,0,0,10
137489113,0,0,0,0,10,10
42321328,3,0,4,3,0,4
111214746,0,0,0,0,10,10
72018755,0,0,10,0,0,10
57604774,10,0,0,0,0,10
392651108,10,0,0,0,0,10
404355884,7,0,3,0,0,7
425520603,0,0,10,0,0,10
137892463,0,0,10,0,0,10
403604176,0,0,10,0,0,10
138040840,0,0,10,0,0,10
41208620,10,0,0,0,0,10
358606148,10,0,0,0,0,10
392580521,10,0,0,0,0,10
40688983,0,0,10,0,0,10
41430582,5,0,5,0,0,5
24340229,0,0,10,0,0,10
137972114,0,0,7,3,0,7
70479999,0,0,10,0,0,10
40294231,10,0,0,0,0,10
137143706,0,0,10,0,0,10
68625190,0,0,10,0,0,10
42552839,0,0,0,0,10,10
29533741,10,0,0,0,0,10
40571126,0,0,10,0,0,10
121775763,0,0,10,0,0,10
68627846,0,0,10,0,0,10
42317725,0,0,10,0,0,10
122510596,0,0,10,0,0,10
394248380,0,0,0,0,10,10
71660055,10,0,0,0,0,10
70727401,0,0,9,0,1,9
392935424,10,0,0,0,0,10
70959919,0,0,10,0,0,10
28632472,0,0,0,0,10,10
22261654,0,0,10,0,0,10
121998798,0,0,10,0,0,10
115304971,0,0,0,0,10,10
71653581,10,0,0,0,0,10
42624363,0,0,10,0,0,10
237195671,0,0,10,0,0,10
20695825,1,0,9,0,0,9
394623400,0,0,0,0,10,10
71425829,10,0,0,0,0,10
122780474,0,0,10,0,0,10
29013062,0,0,10,0,0,10
122372537,0,0,10,0,0,10
302816757,3,0,0,0,7,7
122605965,0,0,10,0,0,10
1876941407,0,0,10,0,0,10
394864216,0,0,10,0,0,10
214234356,0,0,10,0,0,10
121939109,0,0,10,0,0,10
114942404,10,0,0,0,0,10
30861389,0,0,0,0,10,10
30526570,0,0,10,0,0,10
20610056,0,0,10,0,0,10
70155452,0,0,10,0,0,10
113444936,10,0,0,0,0,10
452054094,10,0,0,0,0,10
40288765,0,0,10,0,0,10
407256820,0,0,10,0,0,10
350992235,0,0,10,0,0,10
70724617,0,0,0,0,10,10
28938386,10,0,0,0,0,10
120967362,0,0,10,0,0,10
137094408,0,0,10,0,0,10
72141467,2,0,8,0,0,8
393101757,0,0,0,0,10,10
30061793,10,0,0,0,0,10
137490161,0,0,0,0,10,10
379940722,0,0,10,0,0,10
28680072,0,0,10,0,0,10
214229277,0,0,10,0,0,10
392723091,10,0,0,0,0,10
394547086,10,0,0,0,0,10
58912450,0,0,10,0,0,10
21980627,0,0,10,0,0,10
1867126172,0,0,10,0,0,10
69806118,0,0,10,0,0,10
394871186,0,0,10,0,0,10
70016478,0,0,0,0,10,10
137636730,0,0,10,0,0,10
393037610,10,0,0,0,0,10
394323479,0,0,10,0,0,10
121127482,0,0,10,0,0,10
20918658,10,0,0,0,0,10
337941041,0,0,10,0,0,10
216244347,0,0,10,0,0,10
71075520,0,0,10,0,0,10
42815670,0,0,10,0,0,10
425712126,10,0,0,0,0,10
215494578,10,0,0,0,0,10
379932013,0,0,10,0,0,10
407319552,0,0,10,0,0,10
68485152,10,0,0,0,0,10
137761513,0,0,8,2,0,8
281772893,0,0,10,0,0,10
122370278,0,0,1,0,9,9
137678139,0,0,10,0,0,10
114938415,0,0,10,0,0,10
42547343,0,0,0,0,10,10
42980299,0,0,10,0,0,10
121937254,0,0,10,0,0,10
28940185,10,0,0,0,0,10
407078462,0,0,0,0,10,10
403413821,0,0,10,0,0,10
69359055,0,0,0,0,10,10
1865550770,10,0,0,0,0,10
40460169,9,0,0,1,0,9
392805474,0,0,10,0,0,10
41970093,0,0,10,0,0,10
121876394,0,0,10,0,0,10
452055805,1,0,0,0,9,9
115064125,10,0,0,0,0,10
68668532,0,0,10,0,0,10
41294475,8,0,1,0,1,8
29627601,0,0,10,0,0,10
379936781,0,0,10,0,0,10
213146587,10,0,0,0,0,10
21073668,10,0,0,0,0,10
71189487,0,0,6,4,0,6
215019178,0,0,10,0,0,10
29620386,7,0,3,0,0,7
28402564,0,0,10,0,0,10
452050092,0,0,10,0,0,10
42441260,0,0,0,0,10,10
20429543,0,0,3,0,7,7
1876921856,0,0,0,0,10,10
392937542,0,0,10,0,0,10
22464819,0,0,0,0,10,10
351066961,0,0,0,0,10,10
358854852,0,0,10,0,0,10
68939335,10,0,0,0,0,10
69130839,10,0,0,0,0,10
137891238,0,0,10,0,0,10
403720826,10,0,0,0,0,10
121939089,0,0,10,0,0,10
122706013,9,0,1,0,0,9
122678803,0,0,10,0,0,10
40577332,0,0,0,0,10,10
426114763,10,0,0,0,0,10
285449713,0,0,10,0,0,10
138104449,0,0,10,0,0,10
41429301,0,0,0,0,10,10
28769778,0,0,10,0,0,10
70154865,10,0,0,0,0,10
239471716,0,0,10,0,0,10
138561205,0,0,10,0,0,10
41006200,10,0,0,0,0,10
120826084,10,0,0,0,0,10
1873810534,10,0,0,0,0,10
122130462,0,0,10,0,0,10
383831452,0,0,10,0,0,10
21485042,0,0,10,0,0,10
20813340,0,0,0,0,10,10
40295202,0,0,10,0,0,10
115399631,10,0,0,0,0,10
407329706,0,0,0,0,10,10
30856117,0,0,10,0,0,10
24342488,0,0,10,0,0,10
40295460,0,0,10,0,0,10
137152808,0,0,10,0,0,10
69906476,0,0,10,0,0,10
137632652,0,0,10,0,0,10
351063720,0,0,10,0,0,10
138154717,0,0,10,0,0,10
122607091,0,0,10,0,0,10
379935031,0,0,10,0,0,10
30520368,0,0,10,0,0,10
29812631,10,0,0,0,0,10
137892495,0,0,10,0,0,10
358601082,0,0,10,0,0,10
20431619,8,0,2,0,0,8
395191472,0,0,10,0,0,10
112370456,10,0,0,0,0,10
41101538,0,0,10,0,0,10
407669546,0,0,10,0,0,10
