num,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
15,123314985,274.0845614,44.52748613,11.9954,1.172239,1684.419607,0.0005,0.137362966,14,2,3,0.995135,0.9,5259,4.39655,9.08344,0.17105
17,123014188,273.9953973,45.84397621,12.3965,0.684739,1683.478217,0.6171,0.137139527,14,2,3,0.813781,0.803,4903,4.52177,64.92093,0.50625
25,158635832,274.7869963,46.2169853,12.8253,1.986327,1684.929475,0.07551,0.099058127,14,2,3,3.7598,,5013,,310.42699,0.37335
26,164652676,274.8647546,45.21248646,11.6281,0.475017,1683.810107,0.00067,0.09108926,14,2,3,1.25731,1.18,6174,4.31107,17.95577,0.00101
28,120900467,274.8690874,43.31538283,12.9456,2.643409,1684.492045,0.00035,0.240047971,14,2,3,4.089,,4945,,9.8247,0.17355
40,159444855,275.4896241,42.58232492,11.5673,0.381267,1683.470229,0.00866,0.327005081,14,2,3,1.73474,1.45,6765.14,4.12097,55.17366,0.52897
85,350813612,282.0659256,48.54005497,12.1504,0.4396,1683.470633,0.00505,0.069377672,14,2,3,22.3625,,4407.22,,18.30754,-0.23094
86,399861115,282.2303877,49.19851081,13.1703,0.197933,1683.441032,0.00241,0.018122745,14,2,3,0.807028,0.76,4756,4.5051,10.88035,0.25365
126,158325378,285.1833087,50.54039891,13.42,2.627969,1683.629896,0.00139,0.217727232,14,2,3,1.13022,1.04,5788,4.34877,9.02426,0.27222
127,390054567,291.6359055,42.70753397,11.3709,0.275017,1683.482932,0.00654,0.046780392,14,2,3,21.1564,,4418,,14.02787,0.01484
144,390056002,284.0779815,39.23883755,13.1887,5.383695,1683.610544,0.04012,0.165333273,14,2,3,1.17348,1.18,6168.12,4.371,68.01305,0.21623
148,158385056,284.0843542,41.47764121,13.3103,1.900711,1684.636175,0.00083,0.128963241,14,2,3,4.28814,,4915.35,,12.50897,0.1787
158,159382357,284.3469494,39.17639921,10.4744,2.740801,1685.130172,0.02719,0.142083124,14,2,3,10.011,,4759.21,,41.94715,0.37299
163,336327580,284.4080937,40.92302247,11.8619,0.076405,1683.442408,0.02093,0.000608948,14,2,3,9.47015,,4709.22,,9.16215,0.23986
168,123041396,284.5063268,41.70413089,13.3072,0.338211,1683.521083,0.20637,0.083754572,14,2,3,1.55938,1.49,6859.91,4.22535,44.80635,0.4183
177,158495556,284.6110791,41.36356536,13.0991,3.938273,1687.220325,0.0028,0.249017002,14,2,3,1.69213,0.97,5520.32,3.96797,10.29558,0.24197
