,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
6,100155892,303.666734125,41.8408466538,9.1092,0.450017,1683.776869,0.1376,0.09546660638,15,1,2,24.3418,,7372.0,,49.30267,-0.22916
8,100155900,303.668467327,41.8316251148,12.8258,0.450017,1683.777912,0.1897,0.08994039762,15,1,2,1.47358,1.35,6535.0,4.23165,51.82251,-0.12368
15,10000751628,303.640508628,41.7564082785,12.4239,10.222973,1683.9228,0.00341,0.12390243276,15,1,2,1.63528,1.16,6128.0,4.07534,9.81459,0.22879
24,100156266,303.655686012,41.5784054298,11.2992,0.166683,1683.776577,0.01495,0.00138846939,15,1,2,14.3039,,4622.0,,16.73539,0.22216
32,100156439,303.763020773,41.4684249039,12.7104,9.657577,1691.686564,0.00548,0.16659320325000002,15,1,2,1.21188,0.99,5588.0,4.26678,12.13099,0.20656
35,10000751947,303.681534556,41.4393805842,13.4831,7.989307,1689.955491,0.03294,0.23416658817,15,1,2,15.6889,,4489.0,,27.76139,0.43071
37,10000751948,303.671574737,41.4201204104,12.4136,7.989307,1689.951945,0.01129,0.15882742315999998,15,1,2,4.42535,1.25,6321.0,3.24308,14.48462,0.23822
39,10000751954,303.765073117,41.3993279208,13.4772,7.989307,1689.950154,0.00777,0.17472614409,15,1,2,4.95041,1.65,7302.0,3.26627,22.0195,0.22946
41,10000751957,303.726991038,41.3927645404,8.8403,7.989307,1689.953991,0.08044,0.2380813486,15,1,2,14.7456,,5908.0,,34.23566,0.43398
48,100156525,303.639944,41.279434,12.775,0.586822,1684.179579,0.00828,0.041417896759999996,15,1,2,,,,,11.21331,0.21931
53,10000905280,303.731384657,41.2651285549,13.4345,2.755912,1711.517483,0.01079,0.19542171992,15,1,2,1.66147,2.27,9000.0,4.35311,11.61085,0.32705
57,10000920514,303.697338729,41.2544855784,13.2424,0.486128,1711.681177,0.09446,0.22598146208,15,1,2,43.2814,,3921.0,,63.79785,-0.92526
60,10001414724,303.756041217,41.2433521746,12.5965,2.4146,1684.496401,0.02695,0.13232008,15,1,2,1.43324,1.06,5846.0,4.15073,19.06464,0.29193
66,100097039,303.73141657,41.2161034435,13.4483,0.736128,1684.420391,0.00567,0.08611225344,15,1,2,4.85622,,5962.0,,9.5654,0.21326
76,100097191,303.715244594,41.1556587551,12.4212,1.147933,1684.71918,0.01493,0.16635845036,15,1,2,54.8483,,3744.0,,44.41134,0.38185
80,100097205,303.656893246,41.1491081987,13.4462,1.147239,1684.736475,0.1905,0.17979529607999997,15,1,2,52.521,,3983.0,,218.70398,0.42345
91,100157098,303.647445629,41.0603387615,12.4711,1.790294,1685.086403,0.07206,0.25472303032,15,1,2,16.2239,,4740.0,,98.22691,0.4653
